sentence1,sentence2,score
"Ấm áp , có thể ghi lại.","Ấm hơn , gần như chắc chắn là một kỷ lục.",4.4
"\""Sáng nhưng phân tán\"" trở thành \""điều trị bằng thuốc\"".","\""Cố chấp và cứng đầu\"" trở thành điều trị bằng ma túy\"".",2.2
"Định nghĩa của bạn về \""cuộc sống\"" là gì?",Định nghĩa của bạn về tự nhiên là gì?,1.2
Có thể là rất nhiều thứ.,Có thể là một sai lầm đơn giản.,2.2
"Không tống tiền, không hối lộ, không liên quan đến tiền Anh ta đang yêu cầu tiền cho lá phiếu của mình.","Không tống tiền, không hối lộ, không liên quan đến tiền Chỉ liên quan đến trọng tội loại E.",3.8
Phiên bản sửa đổi của Tiến sĩ Neander.,"Phiên bản sửa đổi của Neander\""?",4.0
Tôi có nên nói cho cô ấy biết tôi cảm thấy thế nào không?,Tôi có nên chờ đợi nó ra và xem nó diễn ra như thế nào không?,2.2
I. YÊU CẦU CỦA ĐẠI TÂY DƯƠNG .,YÊU CẦU THÁI BÌNH DƯƠNG .,0.8
Bạn không có dấu tích của một tên lửa tại Lầu Năm Góc.,Bạn không có nhân chứng cho một tên lửa tại Lầu Năm Góc.,2.6
"\""Jane\"" muốn tôi yêu cầu vị khách hữu ích của bữa tiệc trả tiền cho nó.",Tôi không thể tin rằng cô ấy đang yêu cầu BẠN yêu cầu vị khách hữu ích của bữa tiệc cho tiền!,2.2
Bất kỳ phụ nữ nào muốn kiểm soát sinh sản đều có thể nhận được nó.,Bất kỳ người phụ nữ nào muốn và phá thai đều có thể có được một.,1.6
Phát triển có hợp pháp không?,"Vâng, nó là hợp pháp để phát triển.",2.6
"Nhấn một cái không \""làm\"" tiếng Anh.",Nhấn một cái sẽ gửi một âm báo.,1.8
Ý kiến của tôi về bộ truyện là gì?,Ý kiến của tôi về Firefly trong thời gian tạm thời là gì?,2.8
Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Chuck Đóng Chúng tôi là tất cả các tàu chứa đầy nhiều điều kỳ diệu.,3.6
Anh ấy có người ủng hộ không?,Anh ấy chắc chắn có những người ủng hộ.,2.0
"Nhưng được rồi, chủ quyền tối thượng?","Như vậy, chủ quyền tối thượng.",2.2
Đó không phải là một câu trả lời.,"Không, đó không phải là một câu trả lời.",4.8
Đức quốc xã làm tăng tuổi thọ của giấy phép sử dụng súng ngắn từ nhiều năm.,Đức quốc xã đã hạ độ tuổi tối thiểu để mua súng từ .,2.2
Nhưng chúng ta không thể làm điều đó mà không có sự giúp đỡ.,"Chúng tôi không thể làm điều đó mà không có bạn.\""",3.6
Không có người khỏe mạnh nào cần đánh bạc.,Không có người khỏe mạnh nào cần quan hệ tình dục.,1.4
"Tôi nói đó không phải là một người, theo nghĩa pháp lý.","Nếu nó không phải là một người, thì WTF là nó?",2.0
Bạn có thấy Obama kêu gọi cải cách quy định không?,"Bạn có thấy Obama kêu gọi Cắt, Giới hạn và Cân bằng không?",1.8
"\""Yêu tinh không tồn tại\"" - tốt.","\""Yêu tinh không tồn tại\"" - tốt.",3.0
"Có một số ánh sáng Heine và coors, tôi đã bắt đầu nó tối qua xanis.",Tôi đã bắt đầu nó tối qua Xanis.,2.0
Iran cũng là một bên ký kết NPT và IAEA.,"Gotta yêu thích thực tế EK rằng \""Iran cũng là một bên ký kết của NPT và IAEA.",4.2
"\""Gorgons không tồn tại\"" - tốt.","\""Satyrs không tồn tại\"" - tốt.",2.0
"Cách tốt nhất để lấy tiền ra là loại bỏ hành lang, tất cả.",Cách tốt nhất để bật nó lên đầu là lấy tiền ra.,3.0
"Tôi có nhiều năm quyền \""Neener Neener\"" Thông thường tôi được chăm sóc khá tốt.","Tôi có nhiều năm quyền \""Neener Neener\"", chúng là những vết nứt.",3.4
Tiếng Hà Lan Có ai nghe nói từ Dutchy không?,"@NickFun, Có ai nghe nói về Dutchy không?",3.6
"Hàng hóa mở rộng hình thức giá trị,.",Dạng giá trị vốn hàng hóa cơ bản .,3.6
Bạn là một Cơ đốc nhân.,"Do đó, bạn không phải là một Cơ đốc nhân.",1.4
Và thực tế đơn giản ngày hôm nay?,Tôi nhắc lại: Và thực tế đơn giản ngày hôm nay?,4.0
Đạo đức hoàn toàn không liên quan gì đến nó!,Và đạo đức và sự trung thực có tất cả mọi thứ để làm với nó.,2.0
"\""Ồ, anh đúng là người tốt!","Ngươi đúng là người xấu!\""",1.8
Dương xỉ: Tôi nghĩ những câu chuyện như thế này thật ngu ngốc.,- Tôi nghĩ những câu chuyện như thế này thật ngu ngốc.,3.6
DỰ KIẾN SẼ KHÔNG HÌNH THÀNH LỐC XOÁY TRONG NHỮNG GIỜ TỚI.,SỰ HÌNH THÀNH XOÁY THUẬN NHIỆT ĐỚI KHÔNG ĐƯỢC MONG ĐỢI.,3.4
Bạn không hiểu chuỗi từ đó có nghĩa là gì sao?,Bạn không hiểu từ 'led' ngụ ý gì?,1.2
Không có tự do tôn giáo.,Không có tự do ngôn luận.,1.2
Ban đầu được đăng bởi SolInvictus Sự hỗn độn của tất cả các thánh thư là sự đồng nhất.,Ban đầu được đăng bởi SolInvictus Ah.,2.4
Bao lâu sau khi xóa sổ đứa trẻ nên trở lại trường học?,Bao lâu sau khi xóa sổ nó không còn làm phiền đứa trẻ nữa?,3.0
"Một người đàn ông và một người phụ nữ là khác nhau, vâng.","Đàn ông và phụ nữ khác nhau, phải không?",3.4
Double Jeopardy thực sự thực thi việc vô hiệu hóa bồi thẩm đoàn.,"Về tính hợp pháp, tôi có thể sử dụng vô hiệu hóa bồi thẩm đoàn.",2.2
Người hướng dẫn: Hãy cho tôi thấy đứa trẻ thông minh.,Người hướng dẫn: Và tại sao cô ấy lại là đứa trẻ câm?,1.0
Tiểu thuyết tôn giáo Đó không phải là dư thừa và lặp đi lặp lại sao?,Điều đó không phải là dư thừa và lặp đi lặp lại?,3.2
Ban đầu được đăng bởi anabelle Có gì sai với điều đó?,Ban đầu được đăng bởi Vienna Để 'nói' cái gì?,0.0
Cracklin 'Rosie của Neil Diamond Chúng tôi là tất cả các tàu chứa đầy nhiều điều kỳ diệu.,Jingle Bell Rock của Bobby Helm Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,1.6
Một số người hoàn toàn tin tưởng vào những người điều hành các tổ chức này.,Những người khác không tin tưởng chút nào vào những người điều hành các tổ chức này.,1.6
Loose Change bắt đầu như một tác phẩm hư cấu.,Nó kết thúc như một tác phẩm hư cấu.,2.2
"Nếu nó không phải là một cuộc sống, thì nó sẽ không thể được sinh ra.","Nếu nó không còn sống, thì nó sẽ tự sảy thai.",3.0
"GL, Terral Điều đó hoàn toàn tuyệt vời.",Xin chào Ollie: Điều đó hoàn toàn tuyệt vời.,2.4
Giả sử chúng ta có % trắng và % đen.,Hãy tưởng tượng một nơi có % màu trắng và % màu đen.,3.77777777777778
Tự do ngôn luận có hậu quả!,Nếu tự do ngôn luận có hậu quả thì nó không phải là tự do.,2.11111111111111
"\""Tiên nữ không tồn tại\"" - tốt.","\""Yêu tinh không tồn tại\"" - tốt.",1.0
"Nếu vậy, hãy nói đó là lý do tại sao chúng không đúng.","Xin vui lòng, những gì về họ là không đúng.",3.2
-Không- nói về nó 'và' -Không- làm bất cứ điều gì.,thậm chí còn tệ hơn cả việc nói về nó và không làm gì cả.,2.8
"\""Chống lại vũ khí hạt nhân\"" không có nghĩa là \""không muốn sử dụng vũ khí hạt nhân\"".","\""Chống lại việc sử dụng vũ khí hạt nhân\"" có nghĩa là \""không muốn sử dụng vũ khí hạt nhân\"".",1.4
Cháu gái tôi đã kết hôn với một người đàn ông da đen.,Cháu gái tuyệt vời của tôi là một nửa màu đen.,1.4
Dân số Anh chỉ hơn triệu người.,Dân số Nhật Bản là gần triệu người.,1.0
Tôi đã bắn cảnh sát trưởng Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.4
Tôi hy vọng điều này là không có gì.,Tôi hy vọng mọi thứ đều ổn!,2.0
Số tiền tôi đã bỏ ra để nhận nuôi Velociraptor.,Đó có thể là đỉnh cao của tôi . Số tiền tôi đã bỏ ra để nhận nuôi Velociraptor.,4.2
"Vì vậy, bạn thực sự tin vào từng từ của những gì Terral đã viết?","GL, Terral Hi Corn: Vậy, bạn thực sự tin vào từng lời của Terral đã viết?",4.2
Những gì không phải là cách những gì đã được bán?,"Nó không phải là cách nó được bán, gb.",1.6
Tôi biết tôi ghét phải là anh ấy.,Tôi cũng ghét phải là anh ấy.,4.4
Không có vũ khí.,Tất nhiên không có vũ khí.,4.6
Nó ngu ngốc đến mức nó phải là sự thật.,Thật thú vị khi nghĩ rằng nó thậm chí có thể đúng.,3.0
Trách nhiệm cá nhân nhiều?,"Một lần nữa, trách nhiệm cá nhân.",4.4
Bạn có nhận thấy những điều vô nghĩa mà bạn đang nói không?,"Và công bằng mà nói, bạn có nhận thấy những điều vô nghĩa mà bạn đang nói không?",4.57142857142857
Tôi đoán tôi đã kéo nó ra khỏi phía sau của cuộc điều tra dân số trong một chiếc mũ trên cùng.,Điều tra dân số có đuôi trong một chiếc mũ trên cùng không?,2.6
Điều này nghiêng về Bush như thế nào ??,Đâu là nghiêng chống lại Bush?,4.4
"Nếu nó không phải là bollocks, nó sẽ không phải là vi lượng đồng căn.","Đó là logic đơn giản: Nếu nó không phải là bollocks, nó sẽ không phải là vi lượng đồng căn.",4.8
"Tôi chưa bao giờ buộc tội anh ấy quá mức, không có gì.",Tôi chưa bao giờ buộc tội anh ấy làm bác sĩ bóng chày.,0.4
Gói cứu trợ lớn hơn tin tức của TARP Bloomberg.,Gói cứu trợ lớn hơn TARP Tiêu đề này gây hiểu lầm.,3.8
Cha mẹ tôi đã nói với tôi rằng điều đó là xấu cho bạn.,Cảnh sát đã nói với tôi rằng nó không tốt cho bạn.,2.0
Quan điểm của ông là đó là rủi ro của cá nhân để giả định.,Vị trí của anh ấy là như hiện tại.,1.0
I. YÊU CẦU CỦA ĐẠI TÂY DƯƠNG .,YÊU CẦU THÁI BÌNH DƯƠNG .,0.8
Đọc thêm: Bạn chưa bao giờ gặp ai ủng hộ phá thai?,Bạn chưa bao giờ gặp ai ủng hộ phá thai?,4.8
Tôi không có vấn đề gì với những người có tiền!,"Tôi có nhiều vấn đề với những người đàn ông này, cách để nhiều người nói ở đây!",0.2
"Nixon, Ford và Carter đóng cửa các mỏ dầu?",No đã đóng cửa các mỏ dầu.,2.0
Tôi không muốn một tổng thống 'quan tâm'.,Tôi không muốn một tổng thống có sức lôi cuốn.,1.0
Nó không cần phải chết não.,Tôi không có một mô hình được đề xuất.,0.0
Không có bằng chứng tên lửa.,không có nhân chứng tên lửa.,3.2
Giáo viên của tôi đã nói với tôi rằng điều đó không tốt cho bạn.,Cảnh sát đã nói với tôi rằng nó không tốt cho bạn.,2.2
"Trời ơi, tôi là người có mã mang thai.",Tôi có mã mang thai.,4.2
"Sau đó, anh ta không toàn năng.","Sau đó, anh ta độc ác.",1.4
"Mũ lá thiếc cho mặt chó, bạn mặc cỡ nào?","Mũ lá thiếc cho sarg, bạn mặc cỡ nào?",3.0
Giống như đứa trẻ năm nay bị bắn chết trong một tội ác liên quan đến cần sa.,Hay cậu bé một tuổi bị những kẻ buôn bán cần sa bắn chết bằng vũ khí tự động.,4.2
"Nếu bạn nhảy lên để thực hiện một cú đánh, bạn sẽ nhận được một quả phạt đền.","Nếu cây gậy của bạn đánh vào mặt một chàng trai, bạn sẽ bị phạt.",2.6
TẤT CẢ năng lượng điện đến từ pin.,TẤT CẢ năng lượng điện cuối cùng đến từ máy phát điện.,2.4
Bạn có biết có bao nhiêu hành khách đã làm chứng hoặc những gì họ nói?,Có bao nhiêu hành khách nói rằng họ đã nhìn thấy một tảng băng trôi?,2.4
Hãy tưởng tượng một nơi có % đàn ông và % phụ nữ.,Hãy tưởng tượng một nơi có % màu trắng và % màu đen.,1.6
"Kịch bản A giả định rằng tốc độ tăng trưởng CO tăng tốc 0,%/năm.","Nó giả định rằng tốc độ tăng trưởng khí mêtan tăng tốc 0,% / năm.",1.75
Họ đã thực sự cho thấy một xu hướng hạ nhiệt kể từ khi sự suy giảm gần đây.,Nhận được một xu hướng hạ nhiệt từ vì sự sụt giảm gần đây.,4.6
Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Ký ức Landon từ CATS Chúng tôi là tất cả các tàu chứa đầy nhiều điều kỳ diệu.,3.0
Xin nhắc lại: Họ KHÔNG có chủ quyền như trước đây.,Họ KHÔNG có chủ quyền như trước đây.,4.5
"Tuy nhiên, mất liên lạc và hoàn toàn không đáng tin cậy sẽ không.",Mất liên lạc và không đáng tin cậy?,4.25
Nó chủ yếu chỉ là người Hà Lan.,"Trên thực tế, đó chỉ là người Hà Lan.",3.6
"Chúng ta đang nói về thiên thần và ghim thông thường một lần nữa, phải không?","@Lustig Andrei, Chúng ta đang nói về thiên thần và ghim thông thường một lần nữa, phải không?",4.8
tuyên bố về nhân vật của trayvon Và tôi đã làm điều đó khi nào?,blog nghiêng Và tôi đã làm điều đó khi nào?,2.6
% PP thu bao nhiêu tiền cho các dịch vụ phá thai?,Chi bao nhiêu cho các dịch vụ phá thai?,2.6
Tại sao giao dịch đó lại diễn ra.,Giao dịch có diễn ra không?,2.4
Không còn tế bào trứng sau khi thụ tinh.,Không còn tế bào tinh trùng.,2.4
Lacey - chào mừng trở lại!,"Dù sao, chào mừng trở lại.",4.0
"Kiểm tra thực tế hơn: Tôi không biết tại sao mọi người lại làm ầm ĩ về việc đặt cược $, .","Tôi không biết tại sao mọi người lại làm ầm ĩ về việc đặt cược $, .",4.4
"Nếu bạn chưa đưa ra bất kỳ tuyên bố nào, thì chỉ cần nói như vậy.",Tôi chưa đưa ra bất kỳ tuyên bố nào.,2.4
Không một Thatcherite nào có thể tự gọi mình là một người theo chủ nghĩa tự do.,Ergo nó xúc phạm tôi khi Thatcherites tự gọi mình là người theo chủ nghĩa tự do.,2.4
Vấn đề không phải là ai có tiền.,Vấn đề là ai không có tiền.,2.46666666666667
Nhưng bạn có thực sự tin rằng có một tảng băng trôi trong vùng biển đó không?,Tôi không tin rằng có bất kỳ tảng băng trôi nào ở bất cứ đâu gần tàu Titanic.,2.8
không phải astros hay orioles xấu Gameday cho trò chơi orioles bị đóng băng đối với tôi.,Gameday cho trò chơi orioles bị đóng băng đối với tôi.,3.0
"Nếu vậy, rất nhiều cảnh sát nên dùng thuốc dự đoán.","Nếu vậy, rất nhiều nhà phát minh, nhà văn nên dùng thuốc theo toa..",2.4
Hãy cho chúng tôi biết các khoản phí là gì.,"Vâng, phí của anh ấy là gì.",4.0
Đó là những kẻ thái nhân cách một phần.,Ted Bundy có phải là một kẻ tâm thần một phần không?,1.8
Những người phớt lờ lịch sử chắc chắn sẽ lặp lại nó.,"ooo tấn công HAI, những người bỏ qua lịch sử sẽ phải chịu số phận lặp lại nó.",4.2
đây KHÔNG phải là một cuộc triển khai chiến tranh.,nó không phải là một triển khai chính thức.,2.4
Nutrax Số nhiều của giai thoại không phải là dữ liệu Các quý ông có cần người đi kèm không?,Nutrax Số nhiều của giai thoại không phải là dữ liệu,3.6
"Được rồi, vừa mới vào.","không khỏe, được rồi, vừa mới vào.",4.0
Tôi và H đều đọc sách và nghĩ rằng bộ phim diễn ra quá nhanh.,"Tôi chưa đọc sách, nhưng tôi đã xem bộ phim hôm nay.",3.0
"Tuy nhiên, đó không phải là cảnh Moloch.",Đây là cảnh Moloch.,2.4
"@Lustig Andrei, Vậy Lyndon Johnson và John Kennedy tương thích với nhau?","@edgarblythe, Vậy Lyndon Johnson và John Kennedy tương thích với nhau?",4.4
Bạn cần phải quyết định.,Bạn cần phải đánh bóng các kỹ năng logic của bạn.,0.6
Người đã đi bộ về nhà sau đó và đi ngủ.,Người có ba người đi bộ về nhà và đánh vợ.,1.4
- Quản trị viên DrPizza và tôi đã quên mất bạn là một chiếc giường nhỏ ướt hơn là gì.,Và tôi đã quên mất bạn là một chiếc giường nhỏ ướt át như thế nào.,3.8
"Lập luận là \""Albert Einstein không học đại học\"".","OMG, \""Einstein không học đại học.\""",4.2
"Tăng vốn, lãi suất cao nhất: phần trăm.","Thuế thu nhập, tỷ lệ hàng đầu: phần trăm.",2.4
Bienging là không thể chấp nhận được.,Say rượu là không thể chấp nhận được.,1.0
Anh ấy đã không hài hước trong nhiều năm.,Anh ấy đã không hài hước kể từ khi Larry Bud Melman tham gia chương trình.,3.4
"Nếu vũ trụ có một lời giải thích về sự tồn tại của nó, lời giải thích đó là Chúa.","Do đó, vũ trụ có một lời giải thích về sự tồn tại của nó.",2.4
Chúng ta nhận được gì để đổi lấy việc chiến đấu cho họ?,------ ----------- Chúng ta nhận được gì để đổi lấy việc chiến đấu cho họ?,5.0
Nó sẽ không ngăn được những cuộc hôn nhân đùa giỡn.,Và tôi không đấu tranh cho hôn nhân.,1.2
"Nếu họ là người Do Thái, tôi sẽ gọi họ là người Do Thái.","Nếu họ là người Công giáo, tôi sẽ gọi họ là người Công giáo.",2.2
Cô ấy là một phụ nữ tuyệt vời.,Cô ấy là một phụ nữ tốt.,4.0
Anh ấy không giàu có vì anh ấy thành công.,Tại sao ghét mọi người vì họ thành công?,0.8
Không cáu kỉnh như bạn.,Bạn có vẻ cáu kỉnh như Henry.,1.75
Đó là một điều lý luận thông thường / suy luận.,Hilited điều thông thường / suy luận suy luận của bạn.,2.5
Bạn đã làm điều đó - chúng tôi có một người Hồi giáo đang tại chức ngay bây giờ.,-CryptoLutheran Không. Chúng ta có một Cơ Đốc nhân đang tại chức ngay bây giờ.,0.8
Tôi nói rằng cô ấy chưa bao giờ phải là một phần của bất kỳ lực lượng lao động nào.,Ann Romney chưa bao giờ phải ra ngoài và trở thành một phần của lực lượng lao động.,3.4
DreamTech chưa bao giờ được xuất tinh theo như tôi biết.,Nó chưa bao giờ được xuất tinh theo như tôi biết.,3.0
Tôi đã không nói rằng chúng tôi đã trở nên mềm mại kể từ / Rand.,Tôi nói BẠN đã trở nên mềm mại.,1.2
Tất cả chúng ta đều tin rằng chúng ta đang nhận được những gì chúng ta mong đợi.,"Hầu hết thời gian, % thời gian, chúng ta đang nhận được những gì chúng ta mong đợi.",3.8
"Ben đáng khinh, Đừng cố gắng tìm lý do cho người đàn ông đó nữa.","Ben, Đừng cố gắng tìm lời bào chữa cho người đàn ông đó nữa.",4.4
Trừ khi nó khác nhau ở các quốc gia khác nhau?,"Vì vậy, hình thức ngắn, vâng, nó có thể khác nhau ở các quốc gia khác nhau.",3.6
Nghiên cứu mới không hỗ trợ yêu cầu của bạn.,Bằng chứng vật chất không hỗ trợ cho yêu cầu của bạn.,2.2
Ông nói ở MỌI cấp độ.,Nhưng anh ấy nói MỌI cấp độ.,4.6
"Đạo đức không tồn tại, vì vậy về mặt kỹ thuật không có gì có thể sai về mặt đạo đức.","Tôi hỏi lại nếu Chúa không tồn tại, có thể có điều gì sai trái về mặt đạo đức không?",2.2
Tôi nghĩ đó chủ yếu chỉ là người Hà Lan.,Nó chủ yếu chỉ là người Hà Lan.,4.0
Toyland của Johnny Mathis Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Mắt hổ Chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.2
Hãy để điều này diễn ra trước tòa.,Không có gì ngăn cản điều này diễn ra tại tòa án.,3.8
Ở trong một băng đảng không phải là một tội ác.,Phạm tội trong một băng đảng là một tội ác.,1.8
Tôi sẽ đề nghị Iran một thỏa thuận.,Chuck: Tôi sẽ đề nghị Iran một thỏa thuận.,4.2
"Vâng, cả hai đều khác nhau.",Ý kiến là khác nhau.,1.2
Đó không phải là áp đặt đạo đức.,Đó là áp đặt một đạo luật.,1.1
Annie đã bao giờ sử dụng giới tính của mình như vậy chưa?,Một từ: Zombies Annie đã bao giờ sử dụng giới tính của mình như vậy chưa?,3.8
CHỦ NGHĨA CỘNG SẢN THUẦN TÚY: Bạn có hai.,LIBERTARIAN/ANARCHO-CAPITALISM: Bạn có hai.,2.4
Bạn nên đặt các nhà khoa học lên bệ.,Tại sao những người như bạn đặt nhà khoa học lên bệ?,3.4
Họ đang cố gắng che giấu điều gì?,Sau đó tôi hỏi: Họ đang cố gắng che giấu điều gì?,3.6
Điều đó sẽ khiến bạn phải chịu trách nhiệm một phần cho cái chết của họ.,"Điều đó sẽ làm cho bạn trở thành một loại phụ kiện, tôi nghĩ vậy.",3.0
"\""Bạn có muốn trả tiền chăm sóc sức khỏe cho người khác không?\""","\""Em có muốn thắt dây an toàn không?\""",0.0
Họ KHÔNG có chủ quyền như trước đây.,Xin nhắc lại: Họ KHÔNG có chủ quyền như trước đây.,4.4
Tôi không thấy Obama là người ít tệ hơn trong hai tệ nạn.,Tôi không thấy anh ta xấu xa chút nào.,2.0
Hoặc cái này của Jim Croce Chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,Tất cả chúng ta đều là những con tàu chứa đầy nhiều điều kỳ diệu.,3.2
Vấn đề là một đứa trẻ không vũ trang đã bị sát hại.,Vấn đề là một đứa trẻ không vũ trang đã bị sát hại là người da đen.,3.4
"Zimmerman trả lời: \""Anh đang làm gì ở đây?\""","Martin nói: \""Tại sao anh lại đi theo tôi?\""",0.9
Vô tôn giáo mà làm điều đó tôi có một vấn đề.,Tôn giáo không làm điều đó tôi không có vấn đề gì.,1.6
"Nếu tôi tức giận, nó sẽ hiển thị trong một trong những lần quét đó.","Nếu tôi siêu hiếu động, nó sẽ hiển thị trong một trong những lần quét đó.",3.2
"Nếu bạn muốn mua hàng tỷ đô la cổ phiếu phổ thông XYZ Inc., ai quan tâm?","Nếu bạn muốn mua một ngôi nhà hoặc một chiếc SUV, một lần nữa, ai quan tâm?",1.4
 tỷ. Tất cả mọi người trên thế giới ở mức độ thịnh vượng hiện tại của Mexico.,"Tất cả mọi người trên thế giới ở mức độ \""thịnh vượng\"" hiện tại của Tây Bắc Phi.",1.53333333333333
Nếu bạn trả lời có và không với bạn có lẽ là thẳng.,Nếu bạn trả lời không nhưng có thì có lẽ bạn là người thẳng.,3.1
Đôi khi tôi mơ tưởng về việc có quyền lực.,Đôi khi tôi cũng mơ tưởng về việc uốn cong mọi người trước ý chí mất trí nhớ của tôi.,4.2
Cha mẹ tôi đã nói với tôi rằng điều đó là xấu cho bạn.,Cảnh sát trưởng của tôi đã nói với tôi rằng điều đó không tốt cho bạn.,2.8
Atlas nhún vai Nó cũng là một nghệ sĩ biểu diễn xuất sắc về sự ngu ngốc phồng rộp.,Nó cũng là một người biểu diễn xuất sắc về sự ngu ngốc chớp nhoáng.,3.6
Làm thế nào Martin không biết rằng đó không phải là trường hợp?,Làm thế nào Martin hoặc bất cứ ai khác biết ý định của anh ta dựa trên hành động của anh ta?,2.4
Quy định đưa chính phủ vào mọi thứ.,"\""Bắt chính phủ vào mọi thứ?\""",2.4
Đó là một điều lý luận thông thường / suy luận.,Hilited điều thông thường / suy luận suy luận của bạn.,2.5
"Vâng, tôi đã giả định rằng tất cả các bao bì sẽ có thể tái chế trong lập luận của tôi.",Tôi cũng đã giả định điều này trong lập luận của mình.,2.8
Vô hiệu hóa bồi thẩm đoàn không có nghĩa là một luật là không có lương tâm.,Vô hiệu hóa bồi thẩm đoàn có nghĩa là một đạo luật không phải là Hiến pháp?,3.6
Nó chỉ là một loạt các tế bào.,"Tôi là \""một đám tế bào\"".",2.2
Công việc của Mann là tất cả về toán học.,Công việc của Mann và HS là tất cả về vòng cây.,1.6
Tôi rất tiếc khi nghe điều này Kelly.,"Tôi rất xin lỗi, Kelly.",4.0
Tôi không thích bia có hương vị.,Tôi không thích nhiều đồ uống có hương vị.,3.0
Tôi hy vọng mọi thứ đều ổn!,Tôi hy vọng LO của bạn ổn.,1.6
Bất kỳ phụ nữ nào muốn kiểm soát sinh sản đều có thể nhận được nó.,Bất kỳ người phụ nữ nào muốn và phá thai đều có thể có được một.,1.6
HS: Như bạn mong muốn: Bạn có thấy Hitler giết người Do Thái không?,Bạn có thấy Hitler giết người Do Thái không?,4.6
"Và tôi là bạn của bạn, Mitt.",Người bạn tốt của bạn Mitt.,4.0
Nó có nghĩa là tùy chọn AN của nó.,Không có nghĩa đó là một lựa chọn XẤU.,1.6
Tôi nghĩ bạn cần đọc lại những gì tôi đã viết.,Bạn cần đọc lại những gì tôi đã viết.,5.0
Giả sử chúng ta có % trắng và % đen.,Hãy tưởng tượng một nơi có % màu trắng và % màu đen.,3.77777777777778
"Mẹ xông vào và nói: \""Tiếng ồn gì vậy?\""",Các con tôi xông vào và nói 'bố đó là gì?',1.8
"Tốt nhất của tôi, Kutte Vị hôn phu cũ của tôi sẽ không sử dụng VA hoặc bác sĩ Hải quân.",Jay Vị hôn phu cũ của tôi sẽ không sử dụng VA hoặc bác sĩ Hải quân.,3.6
Holder đã nộp một lá thư dài ba trang.,Các thẩm phán ra lệnh nộp một lá thư dài ba trang.,2.8
"@Lustig Andrei, Lustig, đồng ý.","@Lustig Andrei, Cảm ơn bạn, Lustig.",2.2
Điều này làm lu mờ kỷ lục cũ của thiết lập trong .,Điều này phá vỡ kỷ lục hàng ngày được thiết lập trong .,4.8
"Zimmerman trả lời: \""Anh đang làm gì ở đây?\""","Martin nói: \""Tại sao anh lại đi theo tôi?\""",0.9
"Tôi không biết điều này hợp pháp như thế nào, nhưng tôi nghe nói anh ấy có ý định tự tử.","Vì vậy, tôi không biết điều này hợp pháp như thế nào nhưng có.",1.6
Thuế hội đồng Không phải thuế hội đồng đã bị đóng băng đối với hầu hết mọi người?,Không phải thuế hội đồng đã bị đóng băng đối với hầu hết mọi người?,4.8
Schtick của bạn đang trở nên cũ kỹ.,Sự sai lầm của bạn đang trở nên lộn xộn.,0.4
Đó có phải là cách nó hoạt động?,"Không, đó không phải là cách nó hoạt động.",1.6
"Hít vào, thở ra, tiếp tục.","Buwhahahaha hít vào, thở ra, tiếp tục.",4.4
Đợi cho đến khi chúng trở nên nhất quán và gần nhau hơn.,Chờ cho các cơn co thắt trở nên mạnh mẽ hơn và gần nhau hơn.,3.8
Obama cực đoan và cánh tả.,Obama là một phần của cánh tả cực đoan.,4.8
"@Frank Apisa, Bạn muốn gọi nó là gì tùy thuộc vào bạn.","@Cyracuz, bạn muốn gọi nó là tùy thuộc vào bạn.",2.5
Việc vô hiệu hóa bồi thẩm đoàn KHÔNG LIÊN QUAN GÌ đến tính hợp hiến của pháp luật.,Vô hiệu hóa bồi thẩm đoàn có nghĩa là một đạo luật không phải là Hiến pháp?,2.6
Niềm tin nào bạn nói về trước đây?,Đó sẽ là niềm tin gì?,4.4
"Vì vậy, tôi thực sự đọc OP và đoán những gì tôi phát hiện ra.","Hơn nữa, tôi đã tìm thấy điều này: Vì vậy, tôi thực sự đọc OP và đoán những gì tôi phát hiện ra.",4.6
Chính phủ không xác định bạn đã kết hôn hay chưa.,Chính phủ không cần phải tuyên bố bạn đã kết hôn trước khi bạn có thể kết hôn.,3.6
Dân chủ là một mối đe dọa đối với tự do.,Dân chủ không liên quan gì đến tự do.,1.8
Hi Pro và Corn: Bạn dự định làm bao nhiêu sợi?,Bạn dự định thực hiện bao nhiêu chủ đề?,4.0
Hãy cho tôi biết chính xác hệ thống nào hiện không hoạt động?,Vậy hệ thống nào không hiệu quả với chúng ta?,4.0
"Ồ, và một lần nữa khẳng định rằng hôn nhân là một quyền cơ bản của con người.",Đặc biệt là sau khi tuyên bố rằng hôn nhân là một quyền cơ bản của con người.,4.0
Tại sao người Nga ở Damascus?,Người Nga ở Damascus!,4.2
"Vâng, đó là về pha loãng.","Er, đó không phải là cách pha loãng hoạt động.",1.8
