,split,genre,dataset,year,sid,score,sentence1,sentence2
2803,train,main-news,MSRpar,2012test,537,3.25,"Tại Vienna, IAEA cho biết ElBaradei sẽ chấp nhận lời mời, mặc dù chưa ấn định ngày cụ thể.","Tại Vienna, Cơ quan Nguyên tử năng Quốc tế cho biết hôm thứ Hai rằng ông ElBaradei đã chấp nhận lời mời của Iran, nhưng cho biết chưa ấn định ngày cụ thể."
2804,train,main-news,MSRpar,2012test,539,4.25,"Dịch bệnh bắt đầu vào tháng Mười Một tại tỉnh Quảng Đông của đại lục, nhưng Cộng hòa Nhân dân Trung Hoa từ chối báo cáo trung thực về sự lây lan của nó trong bốn tháng.","Dịch bệnh Trung Quốc bắt đầu ở tỉnh Quan Đông vào tháng Mười Một, nhưng chính quyền Đảng Cộng sản Trung Quốc đã từ chối báo cáo trung thực về sự lây lan của nó trong bốn tháng."
2805,train,main-news,MSRpar,2012test,540,5.0,"Druce sẽ phải đối mặt với cáo buộc giết người, Conte nói.",Conte cho biết Druce sẽ bị buộc tội giết người.
2806,train,main-news,MSRpar,2012test,541,1.6,"Con số đó so với 35,18 triệu đô la, tương đương 24 xu mỗi cổ phiếu, trong giai đoạn năm trước.",Thu nhập bị ảnh hưởng bởi lợi ích thuế 8 triệu đô la không định kỳ trong giai đoạn năm trước.
2807,train,main-news,MSRpar,2012test,543,3.8,"Nick Markakis, một người thuận tay trái từ Young Harris Junior College ở Georgia, đã đến Orioles với lựa chọn thứ bảy.","Tiếp theo, Baltimore lấy Nick Markakis, một vận động viên ném bóng thuận tay trái và tiền vệ từ Young Harris Junior College ở Georgia."
2808,train,main-news,MSRpar,2012test,544,3.5,Chúng tôi vẫn hy vọng rằng thành phố sẽ đồng ý làm việc với chúng tôi và tham gia vào các cuộc thảo luận thiện chí về vấn đề này.,"Alhart cho biết thống đốc \""vẫn hy vọng rằng thành phố sẽ tiếp tục làm việc với chúng tôi và tham gia vào các cuộc thảo luận thiện chí.\"""
2809,train,main-news,MSRpar,2012test,545,4.75,Một số phụ nữ cũng lo ngại rằng rất nhiều phụ nữ đang chuyển sang phẫu thuật thẩm mỹ để tìm kiếm sự hoàn hảo cho cơ thể.,Một số phụ nữ cũng bày tỏ mối quan tâm về một xã hội trong đó nhiều người hơn bao giờ hết đang chuyển sang phẫu thuật thẩm mỹ để tìm kiếm sự hoàn hảo cho cơ thể.
2810,train,main-news,MSRpar,2012test,546,3.0,Thông báo này lần đầu tiên được MSNBC đưa tin hôm thứ Sáu.,MSNBC.com lần đầu tiên báo cáo yêu cầu của CIA vào thứ Sáu.
2811,train,main-news,MSRpar,2012test,549,3.0,"Tuy nhiên, không có bức ảnh nào của Peter Hollingworth trong số tháng Sáu được Herald kiểm tra ngày hôm qua.","Tuy nhiên, không có bức ảnh nào của Tiến sĩ Hollingworth trong số tháng Sáu của tạp chí được The Age kiểm tra ngày hôm qua."
2812,train,main-news,MSRpar,2012test,551,3.25,"\""Chúng tôi tiếp tục làm việc với Ả Rập Xê Út về vấn đề này, nhưng họ đã không, vào thời điểm xảy ra sự kiện bi thảm này, cung cấp an ninh bổ sung mà chúng tôi yêu cầu.\""","\""Nhưng vào thời điểm xảy ra sự kiện bi thảm đặc biệt này, họ đã không cung cấp an ninh mà chúng tôi đã yêu cầu\"", ông Jordan nói."
2813,train,main-news,MSRpar,2012test,553,3.25,Một tuyên bố của DEI cho biết Green sẽ bắt đầu lái chiếc xe trên cơ sở tạm thời bắt đầu từ tuần tới tại Winston Open tại Lowe's Motor Speedway.,"Có thông báo rằng Green sẽ thay thế Park trong chiếc Chevrolet số 1 của Dale Earnhardt Inc., bắt đầu với Winston Open tại Lowe's Motor Speedway vào tuần tới."
2814,train,main-news,MSRpar,2012test,554,3.75,"Đối thủ bán kết của Costa là tay vợt người Tây Ban Nha Juan Carlos Ferrero, người mà anh đã đánh bại trong trận chung kết năm ngoái.",Costa sẽ gặp Juan Carlos Ferrero tiếp theo trong trận tái đấu của trận chung kết năm ngoái.
2815,train,main-news,MSRpar,2012test,555,4.25,Các bác sĩ đã suy đoán rằng estrogen của cơ thể bảo vệ chống lại tổn thương tế bào và cải thiện lưu lượng máu.,Niềm tin của họ dựa trên suy đoán rằng estrogen ngăn ngừa tổn thương tế bào và cải thiện lưu lượng máu.
2816,train,main-news,MSRpar,2012test,556,1.2,"Chỉ số Nasdaq Composite <. IXIC> tăng 8,27 điểm, tương đương 0,51%, lên 1.633,53 điểm.","Chỉ số Standard &; Poor's 500 rộng hơn. SPX tăng 4,3 điểm, tương đương 0,44%, lên 980,52 điểm."
2817,train,main-news,MSRpar,2012test,558,5.0,"Không có người Mỹ nào được báo cáo trong số thương vong, theo Đại úy Michael Calvert, phát ngôn viên của trung đoàn.","Không ai trong số thương vong là người Mỹ, Đại úy Michael Calvert, phát ngôn viên trung đoàn cho biết."
2818,train,main-news,MSRpar,2012test,559,3.0,Chúng tôi nghĩ rằng họ có quyền lựa chọn.,"\""Chúng tôi nghĩ rằng khách hàng của PeopleSoft xứng đáng có quyền lựa chọn\"", Ellison nói."
2819,train,main-news,MSRpar,2012test,560,3.6,"\""Chúng tôi đã tìm thấy khẩu súng bốc khói\"", thành viên hội đồng điều tra Scott Hubbard nói.","\""Chúng tôi đã tìm thấy khẩu súng bốc khói\"", Hubbard, giám đốc Trung tâm Nghiên cứu Ames của NASA ở California cho biết."
2820,train,main-news,MSRpar,2012test,563,1.8,"\""Đứa trẻ này thực sự bị bỏ rơi đến chết\"", luật sư quận Armstrong Scott Andreassi nói.",Luật sư quận Armstrong Scott Andreassi cho biết nhiều bức ảnh gia đình trong nhà không có Kristen.
2821,train,main-news,MSRpar,2012test,564,4.0,"Microsoft cho biết hôm thứ Sáu rằng họ đang tạm dừng phát triển các phiên bản Macintosh trong tương lai của trình duyệt Internet Explorer, trích dẫn sự cạnh tranh từ trình duyệt Safari của Apple Computer.","Microsoft sẽ ngừng phát triển các phiên bản phần mềm trình duyệt Internet Explorer cho máy tính Macintosh, nói rằng Safari của Apple hiện là tất cả những gì Apple cần."
2822,train,main-news,MSRpar,2012test,565,3.8,Chapman không bị bắt ngay lập tức và dự kiến sẽ ra hầu tòa vào ngày 3/7.,"Ông Chapman, người chưa bị bắt, dự kiến sẽ ra tòa vào thứ Năm tới, các công tố viên cho biết."
2823,train,main-news,MSRpar,2012test,566,2.4,"Tổng thống Bush đã quyên góp được kỷ lục 49,5 triệu đô la cho chiến dịch tái tranh cử của ông trong ba tháng qua, với sự đóng góp của 262.000 người Mỹ, chủ tịch chiến dịch tranh cử của tổng thống cho biết hôm thứ Ba.","Tổng thống Bush đã quyên góp được 83,9 triệu đô la kể từ khi bắt đầu chiến dịch tái tranh cử vào tháng Năm, và còn 70 triệu đô la trong số đó để chi tiêu, chiến dịch của ông cho biết hôm thứ Ba."
2824,train,main-news,MSRpar,2012test,567,2.8,"Các nhà chức trách ở Ohio, Indiana và Michigan đã tìm kiếm các thi thể.","Cho đến nay, các nhà chức trách cũng đã tìm kiếm các khu vực ở Pennsylvania, Ohio, Indiana và Michigan."
2825,train,main-news,MSRpar,2012test,568,3.2,"Ông cho biết các chính phủ châu Âu \""đã chặn tất cả các loại cây trồng sinh học mới vì những lo ngại vô căn cứ, phi khoa học.","\""Họ đã chặn tất cả các loại cây trồng sinh học mới vì những lo ngại vô căn cứ, phi khoa học\"", ông Bush nói."
2826,train,main-news,MSRpar,2012test,569,3.0,"Một câu hỏi đặt ra là liệu Pháp, nước đã khiến Washington tức giận khi dẫn đầu cáo buộc chống lại sự cho phép của Liên Hợp Quốc đối với cuộc chiến, sẽ bỏ phiếu \""Có\"" hay bỏ phiếu trắng.","Pháp, nước đã khiến Washington tức giận khi dẫn đầu cáo buộc chống lại sự chấp thuận của Liên Hợp Quốc đối với cuộc chiến, cũng tìm cách thay đổi."
2827,train,main-news,MSRpar,2012test,570,3.4,"Luật sư quận Luzerne David Lupas nói trong một cuộc họp báo hôm thứ Hai rằng các nhà chức trách đang \""tiếp tục đạt được tiến bộ đáng kể\"" trong vụ án.","Không có cáo buộc nào được đệ trình trong những cái chết đó, nhưng Luật sư quận Luzerne David Lupas cho biết các nhà chức trách đang \""tiếp tục đạt được tiến bộ đáng kể\"" trong vụ án."
2828,train,main-news,MSRpar,2012test,571,3.8,Ủy ban Hội nghị Hoa Kỳ cho biết thước đo niềm tin kinh doanh mới nhất của họ đạt 60 sau khi giảm xuống còn 53 trong cuộc khảo sát quý đầu tiên.,"Conference Board cho biết thước đo niềm tin kinh doanh của họ, đã giảm xuống còn 53 trong quý đầu tiên của năm 2003, đã cải thiện lên 60 trong quý II gần đây nhất."
2829,train,main-news,MSRpar,2012test,573,3.25,Đại diện pháp lý của nó đã bắt đầu gặp luật sư của nguyên đơn vào tuần trước để thảo luận về việc dàn xếp.,Các luật sư của cả tổng giáo phận và các nguyên đơn đã bắt đầu họp vào tuần trước để đạt được thỏa thuận ngoài tòa án.
2830,train,main-news,MSRpar,2012test,574,1.5,Người cao niên sau đó sẽ phải trả 50% chi phí thuốc của họ lên tới 3.450 đô la.,"Trên đó, Medicare sẽ trả 90 phần trăm của tất cả các chi phí thuốc."
2831,train,main-news,MSRpar,2012test,576,2.8,Doanh nhân hào nhoáng này đã đánh dấu kế hoạch sau cuộc họp ở London với Bộ trưởng Du lịch Úc Joe Hockey.,Ngài Richard phát biểu sau cuộc họp tại London với Bộ trưởng Du lịch Úc Joe Hockey.
2832,train,main-news,MSRpar,2012test,577,3.2,"Trái phiếu chính phủ bị bán tháo mạnh sau khi Greenspan nói với Quốc hội hôm thứ Ba rằng nền kinh tế Mỹ \""rất có thể đang bắt đầu một giai đoạn tăng trưởng kéo dài\"".","Greenspan nói với Quốc hội hôm thứ Ba rằng nền kinh tế Mỹ \""rất có thể đang bắt đầu một giai đoạn tăng trưởng bền vững\""."
2833,train,main-news,MSRpar,2012test,579,2.0,"Đối với Kathy Nicolo (Jennifer Connelly), ngôi nhà có nghĩa là sự ổn định và gia đình.",Kathy Nicolo (Jennifer Connelly) tuyệt vọng vì gia đình cô không phát hiện ra rằng cuộc sống của cô đã sụp đổ.
2834,train,main-news,MSRpar,2012test,581,3.4,"Chỉ số hoạt động phi sản xuất của Viện Quản lý Cung ứng đã tăng bất ngờ trong tháng Tư, các báo cáo cho biết.","Viện Quản lý Cung ứng cho biết chỉ số hoạt động phi sản xuất của họ đã tăng lên 50,7 từ mức 47,9 trong tháng 3."
2835,train,main-news,MSRpar,2012test,583,4.6,"Người phát ngôn của WHO Maria Cheng đồng ý, nói rằng: \""Nó trông rất giống một sự kiện đơn lẻ\"".","\""Nó trông rất giống một sự kiện bị cô lập\"", phát ngôn viên của Tổ chức Y tế Thế giới Maria Cheng nói."
2836,train,main-news,MSRpar,2012test,584,3.25,Cảnh sát cho biết hai đứa con nhỏ của cô đã ở một mình trong căn hộ tới hai ngày.,Cảnh sát cho biết hai đứa con nhỏ của cô đã ở đó một mình đến hai ngày khi cô nằm chết.
2837,train,main-news,MSRpar,2012test,585,3.75,"Linh mục, Linh mục John F. Johnston, 64 tuổi, ở Đại lộ 35 ở Jackson Heights, bị buộc tội quấy rối nghiêm trọng và sở hữu vũ khí hình sự.","Linh mục John Johnston, 64 tuổi, bị buộc tội quấy rối nghiêm trọng trong vụ gọi điện thoại và sở hữu vũ khí hình sự, theo một tuyên bố của cảnh sát."
2838,train,main-news,MSRpar,2012test,587,4.5,"Thỏa thuận giải quyết bao gồm 4,1 triệu đô la phí và chi phí luật sư.","Luật sư của nguyên đơn sẽ nhận được 4,1 triệu đô la dàn xếp."
2839,train,main-news,MSRpar,2012test,588,3.667,Ba phiếu không sẽ giết chết nó vào lúc này.,Sẽ mất ba phiếu để giết chết sự mở rộng của ACC.
2840,train,main-news,MSRpar,2012test,589,3.333,"Khoảng 660 tù nhân từ 42 quốc gia, trong đó có Canada, đang bị giam giữ, nhiều người bị bắt trong cuộc chiến chống lại mạng lưới al-Qaida ở Afghanistan.","Khoảng 660 tù nhân từ 42 quốc gia đang bị giam giữ tại căn cứ hải quân ở Vịnh Guantanamo, nhiều người bị bắt trong cuộc chiến chống lại Al Qaeda ở Afghanistan."
2841,train,main-news,MSRpar,2012test,590,1.0,"Để liên lạc với John A. Dvorak, người phụ trách Kansas, hãy gọi (816) 234-7743 hoặc gửi e-mail đến jdvorak@kctar.com.","Để liên lạc với Brad Cooper, phóng viên thành phố Johnson County, hãy gọi (816) 234-7724 hoặc gửi e-mail đến bcooper@kcstar.com."
2842,train,main-news,MSRpar,2012test,591,1.0,Công tố viên Jim Hardin gọi quyết định này là một chiến thắng cho gia đình Kathleen Peterson.,Các thành viên trong gia đình Kathleen Peterson không có mặt.
2843,train,main-news,MSRpar,2012test,593,5.0,"Và bây giờ đó là bất cứ điều gì anh ấy muốn nói, \""Alesha Badgley, giám đốc xã hội của Trung tâm Điều dưỡng và Phục hồi chức năng Quận Stone, cho biết trong tuần này.","Và bây giờ đó là bất cứ điều gì ông ấy muốn nói\"", giám đốc xã hội của Trung tâm Điều dưỡng và Phục hồi chức năng Quận Stone Alesha Badgley xác nhận."
2844,train,main-news,MSRpar,2012test,594,5.0,"Giáo phái quốc gia của Giáo hội Giám mục, với 2,3 triệu thành viên, là chi nhánh Hoa Kỳ của Cộng đồng Anh giáo 77 triệu thành viên.","Giáo hội Giám mục, với 2,3 triệu thành viên, là chi nhánh Hoa Kỳ của Cộng đồng Anh giáo trên toàn thế giới, có 77 triệu tín đồ."
2845,train,main-news,MSRpar,2012test,595,3.4,"\""Tôi cảm thấy tự tin khi nói rằng HP không còn là một câu chuyện tích hợp nữa\"", Fiorina nói.","\""Chúng tôi vẫn còn rất nhiều việc phải làm, nhưng tôi cảm thấy tự tin rằng HP không còn là một câu chuyện tích hợp nữa.\"""
2846,train,main-news,MSRpar,2012test,596,3.5,Cảnh sát Anh đã bắt giữ 21 người vào sáng sớm thứ Ba liên quan đến nghi lễ giết một cậu bé châu Phi có thi thể được tìm thấy trên sông Thames.,Cảnh sát đã bắt giữ 21 người liên quan đến vụ sát hại một đứa trẻ Nigeria có thân hình không đầu và không chân tay được tìm thấy trôi nổi trên sông Thames.
2847,train,main-news,MSRpar,2012test,598,1.25,"Đến cuối giờ chiều, chỉ số trung bình công nghiệp Dow Jones tăng 12,81, tương đương 0,1%, lên 9.331,77 điểm, sau khi tăng 201 điểm vào thứ Hai lên mức cao nhất kể từ tháng 7/2002.","Trong phiên giao dịch buổi sáng, chỉ số trung bình công nghiệp Dow Jones giảm 8,76, tương đương 0,1%, xuống 9.310,20 điểm, sau khi tăng 201 điểm vào thứ Hai."
2848,train,main-news,MSRpar,2012test,603,3.25,Eric Gagne tung ra cú sút thứ chín hoàn hảo cho pha cứu thua thứ 23 trong nhiều cơ hội.,Gagne đánh ra hai trong hiệp thứ chín hoàn hảo cho pha cứu thua thứ 23 của mình.
2849,train,main-news,MSRpar,2012test,604,3.25,"Cổ phiếu đóng cửa trên NASDAQ ngay dưới mức cao nhất trong 52 tuần, ở mức 32,17 USD, tăng 1,54 USD.","Giao dịch cổ phiếu của EchoStar đóng cửa hôm thứ Ba ở mức cao nhất trong 52 tuần là 32,17 đô la, tăng 1,54 đô la."
2850,train,main-news,MSRpar,2012test,606,3.75,Janice Kelly cho biết chồng bà đã nhận được sự đảm bảo từ các quan chức cấp cao của Bộ Quốc phòng rằng tên của ông sẽ không được công khai.,"Cô nói với cuộc điều tra rằng chồng cô đã nhận được sự đảm bảo từ người quản lý trực tiếp và các quan chức cấp cao của Bộ rằng khi anh ta công khai, tên của anh ta sẽ không được công khai."
2851,train,main-news,MSRpar,2012test,607,3.25,"Nếu bị kết tội, họ phải đối mặt với án tù năm năm và khoản tiền phạt 250.000 đô la cho mỗi tội danh trong số 11 tội danh.","Nếu bị kết tội, mỗi người phải đối mặt với án tù lên đến năm năm và phạt tiền từ 250.000 đô la trở lên dựa trên số tiền thu được liên quan."
2852,train,main-news,MSRpar,2012test,612,3.6,Chênh lệch lợi suất trái phiếu doanh nghiệp Mỹ đã thắt chặt trong phiên giao dịch ảm đạm vào thứ Sáu khi Phố Wall nỗ lực để lấy lại trên đôi chân của mình sau sự cố mất điện lớn nhất từ trước đến nay ở Bắc Mỹ.,"Chứng khoán Mỹ tăng nhẹ vào thứ Sáu, khi Phố Wall tập hợp lại sau sự cố mất điện lớn nhất từ trước đến nay ở Bắc Mỹ."
2853,train,main-news,MSRpar,2012test,613,4.4,"Việc sơ tán diễn ra suôn sẻ, mặc dù hành khách không được thông báo chuyện gì đang xảy ra, ông Hunt nói.","Hành khách đã được sơ tán suôn sẻ, mặc dù họ không được cho biết chuyện gì đang xảy ra, ông nói."
2854,train,main-news,MSRpar,2012test,615,3.6,"Từ năm 1993 đến năm 2002, 142 cáo buộc tấn công tình dục đã được báo cáo.","Từ năm 1993 đến năm 2002, đã có 142 vụ tấn công tình dục được báo cáo tại học viện."
2855,train,main-news,MSRpar,2012test,616,3.75,"Smith chỉ đơn giản nói \""Ôi, Chúa ơi,\"" trong vài giây sau đó, theo Weinshall.","Trong vài giây sau vụ tai nạn, cô nói thêm, thuyền trưởng Smith nói đơn giản, \""Ôi Chúa ơi.\"""
2856,train,main-news,MSRpar,2012test,618,2.5,Cooley cho biết ông hy vọng Muhammad cũng sẽ được gọi làm nhân chứng tại phiên điều trần trước khi xét xử Malvo.,Lee Boyd Malvo sẽ được triệu tập làm nhân chứng vào thứ Tư trong một phiên điều trần trước khi xét xử nghi phạm bắn tỉa John Allen Muhammad.
2857,train,main-news,MSRpar,2012test,619,3.25,"\""Anh ấy thực sự để lại cho chúng tôi một nụ cười trên khuôn mặt và không nói lời cuối cùng\"", con gái Linda Hope nói.","\""Anh ấy thực sự để lại cho chúng tôi một nụ cười trên khuôn mặt và không nói lời cuối cùng... Anh ấy đã trao cho chúng tôi mỗi người một nụ hôn và thế là xong\"", cô nói."
2858,train,main-news,MSRpar,2012test,621,3.333,Ông cũng có thể bị cấm vĩnh viễn khỏi ngành chứng khoán.,"Young phải đối mặt với án phạt, đình chỉ hoặc bị cấm vĩnh viễn khỏi ngành chứng khoán."
2859,train,main-news,MSRpar,2012test,622,3.0,"\""Họ là một cặp đôi truyền cảm hứng, vị tha và can đảm\"", đạo diễn phim từng đoạt giải Oscar nói.","Ông nói: \""Họ là một cặp đôi truyền cảm hứng, vị tha và can đảm."
2860,train,main-news,MSRpar,2012test,624,2.2,"Nạn nhân thứ hai, Michael Walker, 23 tuổi, bị bắn vào thân, viên đạn xuyên thủng phổi.","Nạn nhân còn lại, Michael Walker, ở 550 phố Barbey, bị đánh vào cổ."
2861,train,main-news,MSRpar,2012test,626,4.6,"Trong một cuộc phỏng vấn, Healey, một nhà tội phạm học, thừa nhận rằng phần lớn tình cảm giữa các nhà lập pháp ở đây và trên toàn quốc là sự cảnh giác đối với án tử hình.","Trong một cuộc phỏng vấn, bà Healey, một nhà tội phạm học, cho biết nhiều nhà lập pháp ở đây và trên khắp đất nước chia sẻ sự cảnh giác đối với án tử hình."
2862,train,main-news,MSRpar,2012test,627,3.2,Thẩm phán Teresa Barton của Franklin County cho biết một lính cứu hỏa đã bị sét đánh và được đưa đến Trung tâm Y tế Khu vực Frankfort.,"Một lính cứu hỏa quận, bị sét đánh và đang trong tình trạng ổn định tại Trung tâm Y tế Khu vực Frankfort."
2863,train,main-news,MSRpar,2012test,628,5.0,"Phát ngôn viên cảnh sát, Chuẩn tướng Edward Aritonang xác nhận hôm thứ Bảy rằng hai người khác đã bị bắt, một ở Jakarta và một ở Magelang, Trung Java.","Chuẩn tướng Edward Aritonang, phát ngôn viên cảnh sát, hôm qua xác nhận rằng hai người khác đã bị bắt, một ở Jakarta và một ở Magelang, Trung Java."
2864,train,main-news,MSRpar,2012test,629,3.6,Thẩm phán liên bang William Barbour hôm thứ Ba cho biết ông áp dụng bản án tối đa vì Avants không tỏ ra hối hận trong vụ giết người tàn bạo.,Thẩm phán William Barbour cho biết ông áp đặt mức tối đa vì Avants không tỏ ra hối hận.
2865,train,main-news,MSRpar,2012test,631,3.2,Khoảng 120 bồi thẩm viên tiềm năng đã được yêu cầu hoàn thành một bảng câu hỏi dài.,Các bồi thẩm đoàn được đưa vào phòng xử án theo nhóm 40 người và được yêu cầu điền vào bảng câu hỏi.
2866,train,main-news,MSRpar,2012test,632,4.6,"Năm bồi thẩm đoàn thay thế cũng được chọn, với một người cuối cùng sẽ được chọn vào sáng thứ Sáu từ hội đồng.","Năm bồi thẩm đoàn thay thế cũng đã được chọn, với một người thay thế thứ sáu sẽ được chọn vào thứ Sáu."
2867,train,main-news,MSRpar,2012test,634,3.8,Cục Trang trại California đã không trả lời ngay lập tức các cuộc gọi yêu cầu bình luận.,Cục Nông nghiệp California đã không có phản hồi chính thức ngay lập tức đối với phán quyết hôm thứ Ba.
2868,train,main-news,MSRpar,2012test,637,3.4,Nhưng thủ tướng nói với BBC rằng ông không bị làm phiền bởi các cuộc thăm dò và ông sẽ tiếp tục làm những gì ông tin là đúng.,"Ông nói rằng ông không bị làm phiền bởi các cuộc thăm dò và ông sẽ tiếp tục làm những gì ông tin là đúng, trong cả chính sách đối nội và đối ngoại."
2869,train,main-news,MSRpar,2012test,638,3.6,Tướng Sattler đứng đầu một Lực lượng Đặc nhiệm Liên hợp đóng trên tàu ở Vịnh Aden và Ấn Độ Dương.,Tướng Sattler đứng đầu một Lực lượng Đặc nhiệm Liên hợp trên tàu chỉ huy Mount Whitney.
2870,train,main-news,MSRpar,2012test,641,2.2,"Các nhà phân tích Phố Wall đã kỳ vọng 22 cent một cổ phiếu, theo Thomson First Call.",Kết quả thấp hơn 3 cent/cổ phiếu so với dự báo của các nhà phân tích được khảo sát bởi Thomson First Call.
2871,train,main-news,MSRpar,2012test,642,3.6,Phán quyết pháp lý sau ba ngày suy đoán dữ dội rằng Hewlett-Packard Co. có thể đang đấu thầu cho công ty.,Phán quyết pháp lý sau ba ngày biến động dữ dội trong cổ phiếu của RIM vì suy đoán rằng gã khổng lồ PC Hewlett-Packard Co. có thể đang đấu thầu cho công ty.
2872,train,main-news,MSRpar,2012test,644,3.8,Các phát hiện đã được công bố trong số ra ngày 1 tháng 7 của Annals of Internal Medicine.,Những phát hiện đang được công bố ngày hôm nay trong Annals of Internal Medicine.
2873,train,main-news,MSRpar,2012test,645,4.0,Các biện pháp này có thể được toàn bộ Thượng viện đưa ra sớm nhất là vào thứ Sáu.,Ông Ratliff cho biết ông hy vọng sẽ đưa hai biện pháp này ra Thượng viện vào thứ Sáu.
2874,train,main-news,MSRpar,2012test,646,1.733,Phát ngôn viên Eric Thode của Enron từ chối bình luận về lệnh hòa giải.,"\""Chúng tôi nghĩ đó là một tin tuyệt vời\"", phát ngôn viên Eric Thode của Enron nói."
2875,train,main-news,MSRpar,2012test,647,4.0,Các nhà phân tích của Bộ Lao động cho rằng số liệu thống kê bảng lương từ cuộc khảo sát các doanh nghiệp cung cấp một bức tranh chính xác hơn về nền kinh tế vì số liệu khảo sát dựa trên một mẫu lớn hơn.,Các nhà phân tích cho biết họ tin rằng số liệu thống kê bảng lương cung cấp một bức tranh chính xác hơn về nền kinh tế vì chúng dựa trên một mẫu lớn hơn.
2876,train,main-news,MSRpar,2012test,648,2.8,Cha mẹ muốn cô ấy được sống; Chồng cô nói rằng cô không bao giờ muốn được sống một cách giả tạo.,Michael Schiavo đã lập luận rằng vợ ông không bao giờ muốn được giữ sống một cách giả tạo.
2877,train,main-news,MSRpar,2012test,649,3.2,"Trước đó, ông nói với France Inter-Radio: \""Tôi nghĩ bây giờ chúng ta có thể coi những gì đang xảy ra là một dịch bệnh thực sự\"".","\""Tôi nghĩ bây giờ chúng ta có thể coi những gì đang xảy ra là một dịch bệnh thực sự\"", Bộ trưởng Y tế Jean-Francois Mattei nói trên đài phát thanh France Inter."
2878,train,main-news,MSRpar,2012test,650,1.8,"Terri Schiavo, 39 tuổi, dự kiến sẽ chết trong hai tuần tới tại nhà tế bần ở khu vực Tampa, nơi cô đã trải qua vài năm qua.","Terri Schiavo, 39 tuổi, đã trải qua thủ tục tại nhà tế bần khu vực Vịnh Tampa, nơi cô đã sống trong nhiều năm, cha cô, Bob Schindler cho biết."
2879,train,main-news,MSRpar,2012test,652,3.75,"Trước khi gia nhập Kodak, Palumbo làm việc cho Procter &; Gamble Corp., nơi ông quản lý các sản phẩm như dầu gội Folgers và Pantene.","Trước khi gia nhập Eastman Kodak, ông Palumbo giữ các vị trí tiếp thị cấp cao cho Procter &; Gamble."
2880,train,main-news,MSRpar,2012test,653,3.75,Ông McDevitt đã được trao quyền kiểm soát ba khía cạnh quan trọng của chính sách ở Solomon.,Ông McDevitt đã được Ủy viên William Morrell trao quyền kiểm soát ba khía cạnh của cảnh sát.
2881,train,main-news,MSRpar,2012test,655,2.909,Các quan chức của North Carolina Speedway tại Rockingham không thể liên lạc được.,Các quan chức NASCAR không thể đưa ra bình luận hôm thứ Ba.
2882,train,main-news,MSRpar,2012test,656,3.4,Họ cho biết đứa trẻ đã được đưa đến Trung tâm Y tế Hạt Nassau để theo dõi.,"Cậu bé đã được đưa đến Trung tâm Y tế Đại học Nassau, nơi các nhân viên nói rằng cậu bé \""vẫn ổn\""."
2883,train,main-news,MSRpar,2012test,657,3.6,"Tisha Kresler, phát ngôn viên của Global Crossing, từ chối bình luận.",Đại diện của Global Crossing chưa đưa ra bình luận ngay lập tức.
2884,train,main-news,MSRpar,2012test,659,2.6,"Các công đoàn cũng đã tổ chức một cuộc đình công kéo dài năm ngày vào tháng Ba, buộc tất cả trừ một trong những phòng ăn của Yale phải đóng cửa.",Các công đoàn cũng đã tổ chức một cuộc đình công kéo dài năm ngày vào tháng Ba; Các cuộc đình công đã diễn ra trước tám trong số 10 hợp đồng gần nhất.
2885,train,main-news,MSRpar,2012test,660,3.8,"Thống đốc Rick Perry đã nói rằng trong khi ông phản đối việc mở rộng cờ bạc, ông sẽ miễn cưỡng phủ quyết việc tiếp tục của Ủy ban Xổ số.","Thống đốc Rick Perry phản đối việc mở rộng cờ bạc nhưng nói rằng ông sẽ \""khó khăn\"" phủ quyết dự luật hoàng hôn xổ số."
2886,train,main-news,MSRpar,2012test,661,1.6,"Trong phiên giao dịch giữa buổi chiều, chỉ số Nasdaq Composite tăng 8,34, tương đương 0,5%, lên 1.790,47 điểm.","Chỉ số Nasdaq Composite . IXIC giảm 8,59 điểm, tương đương 0,48%, xuống 1.773,54 điểm."
2887,train,main-news,MSRpar,2012test,662,3.8,"Tại Kentucky, Bộ trưởng Tư pháp Dân chủ Ben Chandler đối mặt với Hạ nghị sĩ Hoa Kỳ Ernie Fletcher.","Kentucky: Đảng Cộng hòa Ernie Fletcher, một thành viên Hạ viện ba nhiệm kỳ, đang chiến đấu với Tổng chưởng lý bang Dân chủ Ben Chandler."
2888,train,main-news,MSRpar,2012test,663,3.4,"Chỉ số trung bình công nghiệp Dow Jones giảm 98,32, tương đương khoảng 1,1%, xuống 9011,53.","Chỉ số trung bình công nghiệp Dow Jones kết thúc ngày giảm 98,32 điểm xuống 9.011,53 điểm."
2889,train,main-news,MSRpar,2012test,664,2.5,"Kế hoạch 401 (k) của Enron bao gồm khoảng 20.000 công nhân, người về hưu và người thụ hưởng.",Cổ phiếu của Enron chiếm tới 61% danh mục đầu tư 401 (k) của công nhân.
